Ano;Trimestre;Precio en dolares corrientes;Tipo de cambio;IPC;Precio en soles corrientes;Precio en soles constantes de 2009;Distrito;Superficie ;Numero de habitaciones;Numero de banos;Numero de garajes;Piso de ubicacion;Vista al exterior;Anos de antiguedad
2024;1;175 000;3.76;162.44;657 864;405 001;Barranco;67;1;1;1;0;1;6
2024;1;200 000;3.76;162.44;751 845;462 858;Barranco;80;3;2;1;0;1;2
2024;1;179 000;3.76;162.44;672 901;414 258;Barranco;76;2;2;1;0;1;5
2024;1;130 000;3.76;162.44;488 699;300 858;Barranco;56;1;1;1;0;1;5
2024;1;159 000;3.76;162.44;597 717;367 972;Barranco;75;2;2;1;0;1;7
2024;1;135 000;3.76;162.44;507 495;312 429;Barranco;73;3;2;0;0;1;15
2024;1;198 000;3.76;162.44;744 326;458 230;Barranco;101;3;2;1;0;1;7
2024;1;118 000;3.76;162.44;443 588;273 086;Barranco;51;1;1;0;0;1;0
2024;1;117 000;3.76;162.44;439 829;270 772;Barranco;61;3;1;0;0;1;20
2024;1;362 500;3.76;162.44;1362 719;838 930;Barranco;120;3;2;0;0;1;0
2024;1;219 000;3.76;162.44;823 270;506 830;Barranco;132;3;2;1;0;1;11
2024;1;320 000;3.76;162.44;1202 952;740 573;Barranco;134;2;2;2;0;1;10
2024;1;119 000;3.76;162.44;447 348;275 401;Barranco;45;1;1;1;0;1;10
2024;1;152 000;3.76;162.44;571 402;351 772;Barranco;65;2;2;1;0;1;0
2024;1;240 000;3.76;162.44;902 214;555 430;Barranco;80;2;2;2;0;1;8
2024;1;225 000;3.76;162.44;845 825;520 715;Barranco;131;3;3;1;0;1;2
2024;1;149 000;3.76;162.44;560 124;344 829;Barranco;63;2;2;0;0;1;26
2024;1;190 000;3.76;162.44;714 252;439 715;Barranco;92;2;2;1;0;1;12
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;53;1;1;1;0;1;9
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;47;1;1;0;0;1;2
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;80;3;2;1;0;1;4
2024;1;172 554;3.76;162.44;648 668;399 340;Barranco;93;3;2;1;0;1;7
2024;1;138 000;3.76;162.44;518 773;319 372;Barranco;87;3;2;0;0;1;6
2024;1;178 000;3.76;162.44;669 142;411 944;Barranco;67;2;2;1;0;1;2
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;60;3;2;0;0;1;10
2024;1;185 000;3.76;162.44;695 456;428 144;Barranco;86;2;2;2;0;1;16
2024;1;265 000;3.76;162.44;996 194;613 287;Barranco;85;3;2;2;0;1;16
2024;1;234 000;3.76;162.44;879 658;541 544;Barranco;90;1;2;1;0;1;7
2024;1;220 000;3.76;162.44;827 029;509 144;Barranco;125;4;2;0;0;1;19
2024;1;206 000;3.76;162.44;774 400;476 744;Barranco;81;2;2;1;0;1;0
2024;1;199 000;3.76;162.44;748 085;460 544;Barranco;110;2;2;1;0;1;5
2024;1;190 000;3.76;162.44;714 252;439 715;Barranco;67;2;2;1;0;1;2
2024;1;188 000;3.76;162.44;706 734;435 087;Barranco;93;2;2;1;0;1;0
2024;1;105 000;3.76;162.44;394 718;243 001;Barranco;68;3;2;0;0;1;8
2024;1;185 226;3.76;162.44;696 305;428 666;Barranco;130;3;3;1;0;1;7
2024;1;187 000;3.76;162.44;702 975;432 772;Barranco;92;2;2;0;0;1;0
2024;1;110 000;3.76;162.44;413 515;254 572;Barranco;64;2;1;1;0;1;14
2024;1;160 000;3.76;162.44;601 476;370 287;Barranco;87;1;1;1;0;1;10
2024;1;139 532;3.76;162.44;524 531;322 917;Barranco;74;2;2;0;0;1;0
2024;1;196 378;3.76;162.44;738 229;454 476;Barranco;62;2;2;1;0;1;0
2024;1;158 749;3.76;162.44;596 772;367 391;Barranco;55;2;2;1;0;1;0
2024;1;318 000;3.76;162.44;1195 433;735 945;Barranco;134;2;3;2;0;1;5
2024;1;212 777;3.76;162.44;799 876;492 428;Barranco;82;2;2;1;0;1;0
2024;1;65 000;3.76;162.44;244 350;150 429;Barranco;86;2;1;0;0;1;15
2024;1;86 000;3.76;162.44;323 293;199 029;Barranco;62;2;1;0;0;1;40
2024;1;130 000;3.76;162.44;488 699;300 858;Barranco;55;2;2;0;0;1;0
2024;1;249 900;3.76;162.44;939 430;578 341;Barranco;122;2;2;2;0;1;3
2024;1;246 000;3.76;162.44;924 769;569 316;Barranco;95;3;3;1;0;1;0
2024;1;150 000;3.76;162.44;563 884;347 144;Barranco;97;3;2;1;0;1;25
2024;1;164 500;3.76;162.44;618 392;380 701;Barranco;68;1;1;0;0;1;3
2024;1;157 520;3.76;162.44;592 153;364 547;Barranco;88;2;2;0;0;1;5
2024;1;102 000;3.76;162.44;383 441;236 058;Barranco;62;2;1;1;0;1;18
2024;1;125 000;3.76;162.44;469 903;289 286;Barranco;51;1;1;1;0;1;0
2024;1;148 000;3.76;162.44;556 365;342 515;Barranco;53;2;2;1;0;1;1
2024;1;163 000;3.76;162.44;612 753;377 229;Barranco;78;2;2;1;0;1;5
2024;1;183 000;3.76;162.44;687 938;423 515;Barranco;103;3;2;0;0;1;0
2024;1;140 000;3.76;162.44;526 291;324 001;Barranco;60;1;2;1;0;1;12
2024;1;199 500;3.76;162.44;749 965;461 701;Barranco;91;3;2;1;0;1;0
2024;1;158 000;3.76;162.44;593 957;365 658;Barranco;80;2;2;1;0;1;0
2024;1;200 000;3.76;162.44;751 845;462 858;Barranco;130;2;2;1;0;1;10
2024;1;170 000;3.76;162.44;639 068;393 429;Barranco;107;4;2;0;0;1;21
2024;1;320 000;3.76;162.44;1202 952;740 573;Barranco;134;2;2;2;0;1;8
2024;1;77 000;3.76;162.44;289 460;178 200;Barranco;60;3;1;0;0;1;16
2024;1;170 000;3.76;162.44;639 068;393 429;Barranco;88;3;2;1;0;1;4
2024;1;108 802;3.76;162.44;409 011;251 799;Bellavista;135;3;2;0;0;1;30
2024;1;126 296;3.76;162.44;474 774;292 285;Bellavista;112;5;2;1;0;1;15
2024;1;118 960;3.76;162.44;447 198;275 309;Bellavista;100;3;1;1;0;1;8
2024;1;79 663;3.76;162.44;299 472;184 364;Bellavista;66;2;2;0;0;1;0
2024;1;70 000;3.76;162.44;263 146;162 000;Bellavista;64;2;1;0;0;1;22
2024;1;63 062;3.76;162.44;237 064;145 944;Bellavista;70;3;2;0;0;1;13
2024;1;75 000;3.76;162.44;281 942;173 572;Bellavista;87;3;2;0;0;1;20
2024;1;105 000;3.76;162.44;394 718;243 001;Bellavista;75;3;2;0;0;1;7
2024;1;160 000;3.76;162.44;601 476;370 287;Bellavista;140;4;2;0;0;1;20
2024;1;150 000;3.76;162.44;563 884;347 144;Bellavista;108;3;2;0;0;1;14
2024;1;69 900;3.76;162.44;262 770;161 769;Bellavista;68;2;2;0;0;1;16
2024;1;146 850;3.76;162.44;552 042;339 854;Bellavista;124;3;2;0;0;1;15
2024;1;85 000;3.76;162.44;319 534;196 715;Bellavista;66;2;2;0;0;1;0
2024;1;110 000;3.76;162.44;413 515;254 572;Breña;76;3;2;1;0;1;11
2024;1;94 901;3.76;162.44;356 754;219 628;Breña;64;3;2;1;0;1;3
2024;1;78 861;3.76;162.44;296 457;182 508;Breña;56;2;2;0;0;1;5
2024;1;94 634;3.76;162.44;355 749;219 010;Breña;78;2;2;0;0;1;8
2024;1;121 112;3.76;162.44;455 287;280 288;Breña;80;3;1;0;0;1;0
2024;1;118 372;3.76;162.44;444 988;273 948;Breña;66;3;2;1;0;1;6
2024;1;67 000;3.76;162.44;251 868;155 057;Breña;64;3;2;0;0;1;4
2024;1;109 668;3.76;162.44;412 267;253 804;Breña;74;3;2;0;0;1;0
2024;1;70 000;3.76;162.44;263 146;162 000;Breña;87;2;1;0;0;1;50
2024;1;85 000;3.76;162.44;319 534;196 715;Breña;65;3;2;0;0;1;10
2024;1;72 000;3.76;162.44;270 664;166 629;Breña;82;2;1;0;0;1;42
2024;1;105 000;3.76;162.44;394 718;243 001;Breña;88;3;2;0;0;1;20
2024;1;70 000;3.76;162.44;263 146;162 000;Breña;68;3;2;0;0;1;10
2024;1;82 000;3.76;162.44;308 256;189 772;Breña;73;3;2;0;0;1;11
2024;1;145 000;3.76;162.44;545 087;335 572;Breña;93;3;2;0;0;1;16
2024;1;79 000;3.76;162.44;296 979;182 829;Breña;76;3;2;0;0;1;12
2024;1;110 491;3.76;162.44;415 360;255 708;Breña;68;3;2;0;0;1;0
2024;1;110 000;3.76;162.44;413 515;254 572;Breña;92;3;2;0;0;1;5
2024;1;116 864;3.76;162.44;439 318;270 457;Breña;74;3;2;0;0;1;0
2024;1;121 112;3.76;162.44;455 287;280 288;Breña;80;3;2;0;0;1;0
2024;1;116 295;3.76;162.44;437 179;269 140;Breña;76;3;2;0;0;1;0
2024;1;122 957;3.76;162.44;462 223;284 558;Breña;78;3;2;0;0;1;0
2024;1;127 556;3.76;162.44;479 512;295 202;Breña;78;3;2;0;0;1;0
2024;1;120 000;3.76;162.44;451 107;277 715;Breña;69;3;2;1;0;1;8
2024;1;75 000;3.76;162.44;281 942;173 572;Breña;60;2;1;0;0;1;0
2024;1;85 000;3.76;162.44;319 534;196 715;Breña;63;2;1;0;0;1;20
2024;1;95 000;3.76;162.44;357 126;219 858;Breña;64;3;2;1;0;1;3
2024;1;128 873;3.76;162.44;484 461;298 248;Breña;80;3;2;0;0;1;0
2024;1;60 000;3.76;162.44;225 553;138 857;Breña;60;3;2;0;0;1;19
2024;1;143 419;3.76;162.44;539 145;331 914;Breña;86;4;3;1;0;1;1
2024;1;95 000;3.76;162.44;357 126;219 858;Breña;81;3;2;1;0;1;14
2024;1;81 000;3.76;162.44;304 497;187 458;Breña;62;2;2;0;0;1;5
2024;1;100 500;3.76;162.44;377 802;232 586;Breña;75;3;2;0;0;1;9
2024;1;78 000;3.76;162.44;293 219;180 515;Breña;71;2;2;0;0;1;8
2024;1;86 000;3.76;162.44;323 293;199 029;Breña;66;2;2;1;0;1;11
2024;1;100 000;3.76;162.44;375 922;231 429;Breña;80;3;2;0;0;1;10
2024;1;109 756;3.76;162.44;412 597;254 007;Breña;78;3;2;0;0;1;6
2024;1;62 000;3.76;162.44;233 072;143 486;Breña;56;1;1;0;0;1;5
2024;1;94 365;3.76;162.44;354 740;218 389;Breña;81;3;2;1;0;1;14
2024;1;105 000;3.76;162.44;394 718;243 001;Breña;75;3;2;0;0;1;6
2024;1;114 900;3.76;162.44;431 935;265 912;Breña;86;2;1;0;0;1;25
